id,text
525,"Заправив, та й не взяв"
526,За признання бог прощає
527,"Зараз не вішають, а поперед розсудять"
528,"Зарікалась свиня кізяк їсти, коли біжить, аж троє лежить, – вона всі троє і ззіла"
529,Заробив на сіль до оселедця
530,За сім миль киселю їсти
531,Заставили чоловіка моркву стругати
532,"Застукали, як Головка в базарі"
533,"Заступи природу дверима, то вона тобі вікном"
534,"Затвердила ворона Якова, та все одно про всякого"
535,За хорошим хазяїном і свинка – господинка
536,"Захотів пишно, аби затишно"
537,Захотіла муха злого духа
538,За цапа в них в отарі
539,"За царя Томка, як була земля тонка – пальцем проб’єш і води напийся"
540,Заціпило йому язик
541,Зачиняються ��арські врата для нашого брата
542,За шкуру сала заливає
543,За що боролися?
544,"За що купив, за те й продаю"
545,"За що мене господь карає: чи я уплів, чи я убрів, чи в середу кобилу ззів"
546,З багна хліба не спечеш
547,"З брехні не мруть, а більше віри не ймуть"
548,"З вас ремінь деруть, а з їх, бувало, і лій топили"
549,З гармати горобців бити
550,"Згинеш, як руда миша"
551,"Згинув, як марцевий сніг"
552,Згляньтеся
553,"Згода дім будує, а незгода руйнує"
554,"З голого, як з святого, не візьмеш нічого"
555,"Згоріла хижка, згоріла книжка – нічим ворожить"
556,"Здається, й мала пташка, та кігті гострі"
557,З доброго плота добрий кіл
558,Здоров’я – всьому голова
559,З дощу та під ринву
560,З дурнем і в ступі не справишся
561,З дурнем пива не звариш
562,З-за плечей бере
563,"Зійде, як вода з гуски"
564,"Зійшов ні в честь, ні в славу"
565,Зійшовся Яким з таким
566,З клопоту болить голова
567,З клопоту великого подуріли
568,З краси не пити води
569,З ледачого (лихого) вовка хоч шерсти клок
570,Злиднями очі не колють
571,Зловив зайця за хвіст
572,Зловив куцого за хвіст
573,Злодій злодія зараз пізнає
574,Злодій на злодію їде й злодієм поганяє
575,"Злякався, аж у п’яти закололо"
576,З малої хмари великий дощ буває
577,"Змилувався бог над раком, та в заду очі дав"
578,Знав кінь – нащо голоблі бив
579,"Зна, де вовк, а де лисиця"
580,"Знає, де раки зимують"
581,"Знає кіт, чиє сало ззів"
582,"Знає свиня, що (де) морква"
583,"Знаєш ти багато, уночі родившись, та ще й в погребі"
584,Знаєш ти в гарбузі смак
585,Знаєш ти за кобилячу голову
586,Знаєш ти свого батька лисого
587,"Знаєш ти свого батька, який був на шерсть"
588,"Знає, що в людей в горшках кипить"
589,"Знай, кобила, де брикати"
590,"Знайко біжить, а незнайко лежить"
591,"Знай, коза, своє стійло"
592,Знай та гадай – мудрому досить. Цить та диш!
593,"Знайте нас, ми кислиці – з нас квас"
594,"Знай, хто роком старший"
595,"Знала кобила, нащо віз била (щоб новий був)"
596,"Знала, нащо грала"
597,"Знатимеш, по чім ківш лиха"
598,Знатимеш ти Кузькину матір
599,"З нашого Захарка ні богу свічка, ні чортові угарка"
600,"Знають сусіди, що в багача в обіді"
601,"З неба зорі хапає (хвата), а під носом не бачить"
602,"З ним не виведе справи і той, що в болоті"
603,З одного сукна ґудзики
604,З однієї липи двічі лика не деруть
605,З одного вола двох шкур не деруть
606,Зо злої трави не буде доброго сіна
607,Золото і в попелі блищить
608,"Зорі лічить, а під носом не бачить"
609,"Зорі лічиш, а під носом не бачиш"
610,Зосталися самі вишкварки
611,З пальця не виссав
612,"З панами рідко, а з дурнями ніколи не ставай"
613,З паршивою головою та в тин лізе
614,З переляку душа аж опинилась
615,З переляку очкур луснув
616,З попелу галушки не вдаються
617,З посміху люди бувають
618,З пустого в порожнє переливає
619,З рижу не зробиш Парижу
620,"Зробив аби-як, як казав дяк"
621,Зробив людям на сміх
622,Зробив петлю на свою голову
623,"З розумним розуму наберешся, а з дурним і останній загубиш"
624,З рук паде все
625,З свинячою мордою у бубличний ряд
626,З свинячим писком та в пшеничне тісто
627,З сліпим дороги не знайдеш
628,"З сокирою не лізь туди, де пила не була"
629,З сорому очі не вилізуть
630,Зуб за зуб стялися
631,Зуби вже на цьому попроїдали
